Year,State,County,Week,Arbovirus,CorvidsReported,CorvidsTested,OtherReported,OtherTested
2003,CT,09001,37,WNV,90,19,50,2
2003,CT,09001,38,WNV,77,2,43,3
2003,CT,09001,39,WNV,52,1,26,1
2003,CT,09001,40,WNV,38,4,16,0
2003,CT,09001,41,WNV,7,1,3,0
2003,CT,09001,44,WNV,0,0,0,0
2003,CT,09003,23,WNV,6,0,15,1
2003,CT,09003,24,WNV,6,0,22,1
2003,CT,09003,25,WNV,8,0,22,0
2003,CT,09003,26,WNV,11,3,17,0
2003,CT,09003,27,WNV,13,2,28,0
2003,CT,09003,28,WNV,10,2,44,1
2003,CT,09003,29,WNV,16,0,63,2
2003,CT,09003,30,WNV,25,1,76,2
2003,CT,09003,31,WNV,19,3,67,2
2003,CT,09003,32,WNV,34,8,38,0
2003,CT,09003,33,WNV,74,7,66,1
2003,CT,09003,34,WNV,132,21,89,6
2003,CT,09003,35,WNV,122,16,117,4
2003,CT,09003,36,WNV,98,7,81,3
2003,CT,09003,37,WNV,120,15,84,3
2003,CT,09003,38,WNV,53,3,46,4
2003,CT,09003,39,WNV,35,1,47,1
2003,CT,09003,40,WNV,18,2,14,3
2003,CT,09003,41,WNV,0,0,0,0
2003,CT,09003,44,WNV,0,0,0,0
2003,CT,09005,23,WNV,1,1,5,0
2003,CT,09005,24,WNV,1,0,2,0
2003,CT,09005,25,WNV,0,0,1,0
2003,CT,09005,26,WNV,6,0,7,0
2003,CT,09005,27,WNV,5,0,1,0
2003,CT,09005,28,WNV,1,1,2,0
2003,CT,09005,29,WNV,1,1,3,0
2003,CT,09005,30,WNV,8,0,6,0
2003,CT,09005,31,WNV,9,4,8,0
2003,CT,09005,32,WNV,4,1,4,0
2003,CT,09005,33,WNV,14,1,7,0
2003,CT,09005,34,WNV,29,3,15,0
2003,CT,09005,35,WNV,36,8,9,1
2003,CT,09005,36,WNV,16,4,4,0
2003,CT,09005,37,WNV,11,3,4,1
2003,CT,09005,38,WNV,13,0,0,0
2003,CT,09005,39,WNV,15,0,0,0
2003,CT,09005,40,WNV,8,0,1,0
2003,CT,09005,41,WNV,0,0,0,0
2003,CT,09005,44,WNV,0,0,0,0
2003,CT,09007,23,WNV,0,0,3,0
2003,CT,09007,24,WNV,2,0,0,0
2003,CT,09007,25,WNV,3,0,2,0
2003,CT,09007,26,WNV,1,1,8,0
2003,CT,09007,27,WNV,2,1,6,0
2003,CT,09007,28,WNV,6,1,6,0
2003,CT,09007,29,WNV,4,1,3,0
2003,CT,09007,30,WNV,6,2,12,1
2003,CT,09007,31,WNV,6,2,7,0
2003,CT,09007,32,WNV,10,8,5,1
2003,CT,09007,33,WNV,7,3,4,1
2003,CT,09007,34,WNV,26,10,9,3
2003,CT,09007,35,WNV,20,7,16,2
2003,CT,09007,36,WNV,14,8,10,2
2003,CT,09007,37,WNV,26,1,12,4
2003,CT,09007,38,WNV,18,3,12,0
2003,CT,09007,39,WNV,9,3,6,0
2003,CT,09007,40,WNV,15,0,3,0
2003,CT,09007,41,WNV,5,0,1,0
2003,CT,09007,44,WNV,0,0,0,0
2003,CT,09009,23,WNV,3,1,7,0
2003,CT,09009,24,WNV,2,0,50,0
2003,CT,09009,25,WNV,9,0,16,1
2003,CT,09009,26,WNV,20,0,35,0
2003,CT,09009,27,WNV,17,1,37,0
2003,CT,09009,28,WNV,25,6,28,0
2003,CT,09009,29,WNV,23,4,42,2
2003,CT,09009,30,WNV,28,4,64,0
2003,CT,09009,31,WNV,28,8,37,0
2003,CT,09009,32,WNV,32,5,31,0
2003,CT,09009,33,WNV,78,10,41,4
2003,CT,09009,34,WNV,208,24,84,3
2003,CT,09009,35,WNV,207,14,112,2
2003,CT,09009,36,WNV,143,16,85,2
2003,CT,09009,37,WNV,132,8,92,3
2003,CT,09009,38,WNV,74,3,45,0
2003,CT,09009,39,WNV,23,0,24,0
2003,CT,09009,40,WNV,28,0,16,1
2003,CT,09009,41,WNV,4,0,1,0
2003,CT,09009,44,WNV,0,1,0,0
2003,CT,09011,23,WNV,1,1,1,0
2003,CT,09011,24,WNV,3,1,2,0
2003,CT,09011,25,WNV,1,0,1,0
2003,CT,09011,26,WNV,1,0,3,1
2003,CT,09011,27,WNV,2,1,3,0
2003,CT,09011,28,WNV,6,2,1,0
2003,CT,09011,29,WNV,8,2,5,0
2003,CT,09011,30,WNV,4,2,5,1
2003,CT,09011,31,WNV,4,2,6,0
2003,CT,09011,32,WNV,6,2,5,0
2003,CT,09011,33,WNV,12,2,7,0
2003,CT,09011,34,WNV,33,8,16,1
2003,CT,09011,35,WNV,71,16,22,0
2003,CT,09011,36,WNV,53,10,11,1
2003,CT,09011,37,WNV,72,13,31,2
2003,CT,09011,38,WNV,52,6,17,2
2003,CT,09011,39,WNV,34,3,10,1
2003,CT,09011,40,WNV,28,3,6,0
2003,CT,09011,41,WNV,4,0,0,0
2003,CT,09011,44,WNV,0,0,0,0
2003,CT,09013,23,WNV,1,0,2,1
