County,Species,Virus,CollectionDate,Month,Year,CountofCounty
Plymouth,Culex pipiens/restuans complex,EEE,August 2016,August,2016,2
Plymouth,Culex pipiens/restuans complex,WNV,July 2017,July,2017,2
Plymouth,Culex pipiens/restuans complex,WNV,July 2018,July,2018,2
Plymouth,Culex pipiens/restuans complex,WNV,July 2019,July,2019,3
Plymouth,Culex pipiens/restuans complex,WNV,August 2014,August,2014,1
Plymouth,Culex pipiens/restuans complex,WNV,August 2015,August,2015,1
Plymouth,Culex pipiens/restuans complex,WNV,August 2017,August,2017,10
Plymouth,Culex pipiens/restuans complex,WNV,August 2018,August,2018,6
Plymouth,Culex pipiens/restuans complex,WNV,August 2019,August,2019,1
Plymouth,Culex pipiens/restuans complex,WNV,September 2014,September,2014,3
Plymouth,Culex pipiens/restuans complex,WNV,September 2015,September,2015,3
Plymouth,Culex pipiens/restuans complex,WNV,September 2017,September,2017,2
Plymouth,Culex pipiens/restuans complex,WNV,September 2018,September,2018,5
Plymouth,Culex pipiens/restuans complex,WNV,September 2020,September,2020,2
Plymouth,Culex salinarius,EEE,July 2019,July,2019,7
Plymouth,Culex salinarius,EEE,August 2019,August,2019,21
Plymouth,Culex salinarius,EEE,August 2020,August,2020,3
Plymouth,Culex salinarius,WNV,August 2019,August,2019,1
Plymouth,Culex salinarius,WNV,August 2020,August,2020,1
Plymouth,Culex salinarius,WNV,September 2018,September,2018,1
Plymouth,Culiseta melanura,EEE,July 2019,July,2019,31
Plymouth,Culiseta melanura,EEE,July 2020,July,2020,9
Plymouth,Culiseta melanura,EEE,August 2014,August,2014,3
Plymouth,Culiseta melanura,EEE,August 2019,August,2019,34
Plymouth,Culiseta melanura,EEE,August 2020,August,2020,10
Plymouth,Culiseta melanura,EEE,September 2014,September,2014,6
Plymouth,Culiseta melanura,EEE,September 2018,September,2018,1
Plymouth,Culiseta melanura,EEE,September 2019,September,2019,2
Plymouth,Culiseta melanura,EEE,September 2020,September,2020,1
Plymouth,Culiseta melanura,WNV,July 2019,July,2019,7
Plymouth,Culiseta melanura,WNV,August 2015,August,2015,2
Plymouth,Culiseta melanura,WNV,August 2018,August,2018,1
Plymouth,Culiseta melanura,WNV,August 2019,August,2019,2
Plymouth,Culiseta melanura,WNV,August 2020,August,2020,2
Plymouth,Culiseta melanura,WNV,September 2017,September,2017,2
Plymouth,Culiseta melanura,WNV,September 2018,September,2018,12
Plymouth,Ochlerotatus canadensis,EEE,July 2019,July,2019,4
Plymouth,Ochlerotatus canadensis,EEE,August 2019,August,2019,4
Plymouth,Ochlerotatus canadensis,EEE,September 2019,September,2019,1
Plymouth,Ochlerotatus canadensis,WNV,September 2017,September,2017,1
Plymouth,Ochlerotatus canadensis,WNV,September 2018,September,2018,1
Plymouth,Ochlerotatus japonicus,WNV,September 2018,September,2018,1
Plymouth,Uranotaenia sapphirina,EEE,September 2014,September,2014,1
Suffolk,Culex pipiens,WNV,July 2015,July,2015,1
Suffolk,Culex pipiens,WNV,July 2020,July,2020,1
Suffolk,Culex pipiens,WNV,August 2014,August,2014,1
Suffolk,Culex pipiens,WNV,August 2015,August,2015,1
Suffolk,Culex pipiens,WNV,August 2016,August,2016,5
Suffolk,Culex pipiens,WNV,August 2020,August,2020,1
Suffolk,Culex pipiens,WNV,September 2015,September,2015,1
Suffolk,Culex pipiens,WNV,September 2016,September,2016,2
Suffolk,Culex pipiens/restuans complex,WNV,June 2017,June,2017,1
Suffolk,Culex pipiens/restuans complex,WNV,July 2014,July,2014,1
Suffolk,Culex pipiens/restuans complex,WNV,July 2015,July,2015,3
Suffolk,Culex pipiens/restuans complex,WNV,July 2016,July,2016,4
Suffolk,Culex pipiens/restuans complex,WNV,July 2017,July,2017,4
Suffolk,Culex pipiens/restuans complex,WNV,July 2018,July,2018,5
